datetime	sensor_0	sensor_1	sensor_2
time	continuous	continuous	continuous
	class	class	class
1601482484.0	84.09814	59.9997	64.46227
1601482483.0	82.07617	58.26177	61.29453
1601482482.0	81.82285	58.28355	64.44523
1601482481.0	86.15978	57.8076	64.84494
1601482480.0	85.08642	61.68436	62.22284
1601482479.0	86.38983	58.9049	62.02153
1601482478.0	85.61826	58.48133	63.39083
1601482477.0	86.31702	58.53027	65.32466
1601482476.0	87.79345	60.45107	63.18533
1601482475.0	88.47876	61.83865	63.24699
1601482474.0	87.31834	60.40757	60.8225
1601482473.0	84.74108	60.15168	60.44017
1601482472.0	87.48988	60.48352	61.50472
1601482471.0	89.44955	62.2611	60.77399
1601482470.0	89.05499	60.69336	63.40574
1601482469.0	88.4147	59.89387	62.16725
1601482468.0	89.78621	58.93673	62.11243
1601482467.0	84.10414	59.69659	62.89718
1601482466.0	79.73532	60.57798	64.82891
1601482465.0	78.63673	62.70575	66.18851
1601482464.0	77.29614	63.05927	64.52898
1601482463.0	71.46174	62.81609	64.96396
1601482462.0	70.10288	62.60679	66.73159
1601482461.0	70.9151	62.26722	66.7182
1601482460.0	70.06142	61.36795	68.20567
1601482459.0	67.58864	60.15316	69.18759
1601482458.0	66.51968	61.45871	70.05056
1601482457.0	65.56355	60.62096	71.17352
1601482456.0	65.53605	59.11407	71.05205
1601482455.0	67.22597	61.16991	69.55695
1601482454.0	67.23212	59.82015	70.39653
1601482453.0	67.75127	61.77737	70.39261
1601482452.0	66.1537	62.50081	72.14909
1601482451.0	66.79449	61.57079	71.42183
1601482450.0	67.36369	60.73413	70.82481
1601482449.0	67.6693	62.13292	67.35149
1601482448.0	69.29901	61.92399	67.08504
1601482447.0	69.45434	62.31403	67.19582
1601482446.0	67.13265	60.66111	68.3387
1601482445.0	68.45144	61.93648	66.92323
1601482444.0	67.32506	62.76768	70.23047
1601482443.0	66.58016	60.23371	71.47789
1601482442.0	67.675	62.46434	72.33894
1601482441.0	67.60676	60.23471	72.48685
1601482440.0	67.4666	61.40311	71.69564
1601482439.0	67.27171	60.32032	67.69289
1601482438.0	68.36798	62.22712	68.09139
1601482437.0	69.09908	61.99395	68.97486
1601482436.0	71.91097	64.1888	66.32745
1601482435.0	74.3053	64.23007	66.89334
1601482434.0	72.17616	65.40926	67.31746
1601482433.0	70.47372	63.61818	65.57785
1601482432.0	69.17793	64.00646	67.53249
1601482431.0	68.4558	61.39363	67.99219
1601482430.0	67.03319	61.97314	69.37659
1601482429.0	66.50862	62.4921	71.72271
1601482428.0	66.35832	62.83018	72.03197
1601482427.0	65.10578	59.31594	71.44585
1601482426.0	66.06102	61.44724	73.50773
1601482425.0	65.70673	60.71803	69.11416
1601482424.0	68.45271	60.47246	69.90101
1601482423.0	70.34882	62.74098	67.81316
1601482422.0	70.72528	63.68269	68.67521
1601482421.0	72.39912	65.62527	66.7756
1601482420.0	74.62473	66.27924	65.72479
1601482419.0	72.10392	64.25745	67.23312
1601482418.0	69.76902	66.86932	65.83623
1601482417.0	70.70185	64.86495	65.69275
1601482416.0	69.04836	63.55519	68.71395
1601482415.0	68.12125	63.70565	68.77687
1601482414.0	66.26794	60.60778	71.39384
1601482413.0	65.74433	62.12385	70.56422
1601482412.0	65.5919	60.66923	73.13584
1601482411.0	66.59921	60.3772	73.08665
1601482410.0	65.83963	60.29466	73.72832
1601482409.0	66.30978	63.03379	74.5485
1601482408.0	66.24729	62.04211	70.14298
1601482407.0	69.34675	63.26314	69.8754
1601482406.0	70.25283	65.87189	68.91617
1601482405.0	71.63207	66.81284	69.62959
1601482404.0	71.29142	66.5953	68.02848
1601482403.0	74.29716	66.40656	68.03166
1601482402.0	74.20493	64.76413	65.40679
1601482401.0	72.80367	67.81915	65.38091
1601482400.0	71.62878	68.21438	66.48654
1601482399.0	70.86744	67.78555	66.51852
1601482398.0	69.91081	66.87606	67.98923
1601482397.0	69.04365	64.24587	69.16588
1601482396.0	67.60055	64.06348	71.55146
1601482395.0	67.86501	63.03873	71.71216
1601482394.0	65.9799	61.2384	71.43696
1601482393.0	65.38197	61.25892	75.08748
1601482392.0	64.83039	59.31053	77.76625
1601482391.0	66.13141	61.39646	73.39664
1601482390.0	66.86424	61.53731	72.83015
1601482389.0	66.44019	62.88664	71.88747
1601482388.0	69.58443	62.81557	70.37388
1601482387.0	69.54235	64.08344	69.92606
1601482386.0	72.21002	67.11045	68.61011
1601482385.0	71.26019	67.97989	68.27507
1601482384.0	71.88556	67.29889	69.58392
1601482383.0	73.32365	67.20348	67.18299
1601482382.0	75.83685	66.26997	67.77103
1601482381.0	79.44774	67.2052	66.5573
1601482380.0	79.50201	64.92648	65.48721
1601482379.0	79.61594	67.28526	63.84623
1601482378.0	77.24214	67.56187	66.82582
1601482377.0	72.8637	66.35928	66.31589
1601482376.0	71.8807	67.7174	68.18023
1601482375.0	70.49098	68.41898	70.49905
1601482374.0	69.37998	65.91975	71.51899
1601482373.0	67.85944	63.92067	71.94064
1601482372.0	69.07065	62.99046	71.47816
1601482371.0	65.23413	62.48697	73.76831
1601482370.0	65.77544	59.40285	73.66576
1601482369.0	65.3373	61.15303	74.88454
1601482368.0	65.07507	58.9199	76.26509
1601482367.0	66.70595	59.29567	79.31339
1601482366.0	63.37884	58.52939	76.42245
1601482365.0	65.85719	60.64398	73.39489
1601482364.0	66.73026	62.49154	73.50876
1601482363.0	67.91655	62.35973	70.81262
1601482362.0	68.14596	63.54458	69.66008
1601482361.0	69.64394	64.74589	70.92081
1601482360.0	69.69125	68.11113	68.30057
1601482359.0	71.1311	67.52189	66.62671
1601482358.0	73.28706	67.24776	67.66062
1601482357.0	73.76215	66.50803	65.53351
1601482356.0	76.84156	66.11887	66.92876
1601482355.0	78.16329	63.87487	64.0608
1601482354.0	80.01996	61.55753	63.58163
1601482353.0	79.57606	61.74752	64.62318
1601482352.0	77.60552	59.25921	62.7155
1601482351.0	75.77033	58.79844	63.39638
1601482350.0	76.60664	58.27982	61.83569
1601482349.0	73.76993	56.57671	63.22935
1601482348.0	74.11591	58.99039	62.82161
1601482347.0	74.31983	58.6488	60.87706
1601482346.0	77.04771	61.29354	63.76242
1601482345.0	79.1623	59.66956	61.72062
1601482344.0	78.82131	60.88235	63.36533
1601482343.0	78.96014	64.44798	65.21773
1601482342.0	77.3748	65.08521	63.40571
1601482341.0	76.49035	66.70056	65.47425
1601482340.0	73.5354	68.58303	65.28498
1601482339.0	71.45234	68.90885	66.72272
1601482338.0	71.87004	68.21998	68.14018
1601482337.0	69.21743	65.99368	69.37191
1601482336.0	68.23959	65.95216	70.11575
1601482335.0	68.51713	63.33617	70.96603
1601482334.0	66.20175	61.63595	70.45289
1601482333.0	66.52634	61.58787	73.76962
1601482332.0	65.92213	60.87516	74.90916
1601482331.0	66.80564	61.15072	77.42439
1601482330.0	66.94257	59.13012	78.52831
1601482329.0	65.01029	60.2072	75.6138
1601482328.0	65.54786	61.26255	74.79705
1601482327.0	63.48047	61.56553	69.7444
1601482326.0	67.06741	62.65122	69.87816
1601482325.0	67.02564	64.94514	70.15515
1601482324.0	68.14796	66.42164	69.42515
1601482323.0	68.97062	68.04922	69.35085
1601482322.0	71.9959	69.42765	68.07254
1601482321.0	72.6947	69.22916	66.17763
1601482320.0	74.46653	66.96989	65.46678
1601482319.0	76.7056	65.95564	64.58824
1601482318.0	77.70859	62.31666	64.62029
1601482317.0	77.62574	62.26948	63.0738
1601482316.0	79.44732	60.9995	64.74466
1601482315.0	78.10873	61.16868	64.08328
1601482314.0	76.84774	58.87469	64.22576
1601482313.0	75.22875	60.1945	61.55901
1601482312.0	72.45055	55.87574	61.99833
1601482311.0	71.87233	55.93507	59.50351
1601482310.0	74.57367	58.37307	61.64706
1601482309.0	70.93896	58.73267	61.43405
1601482308.0	73.69122	57.97485	60.73556
1601482307.0	75.43768	58.48119	63.49994
1601482306.0	78.44437	58.35803	62.18244
1601482305.0	80.03979	60.04031	63.83073
1601482304.0	80.60797	62.20966	63.88376
1601482303.0	79.78758	62.40338	64.34135
1601482302.0	79.96931	64.66123	64.1742
1601482301.0	76.43702	67.40255	63.85553
1601482300.0	76.15845	65.529	65.73685
1601482299.0	71.88296	63.63039	63.95908
1601482298.0	70.87709	63.9268	66.57965
1601482297.0	71.01467	63.45332	66.08021
1601482296.0	70.82551	64.61914	68.95828
1601482295.0	68.09965	59.57129	68.39085
1601482294.0	67.8342	60.86106	68.84032
1601482293.0	68.7369	61.89789	72.49338
1601482292.0	67.53073	58.09787	73.14963
1601482291.0	67.74162	62.01905	74.32406
1601482290.0	68.99389	61.80042	75.02051
1601482289.0	65.40708	59.23866	74.63972
1601482288.0	65.37167	58.93711	75.23902
1601482287.0	68.95598	60.86807	77.69271
